x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-31.3157,188.666,-1.29921,-0.219606,-2.16066,-2.02157,6654.22,-3.56323,-286.308
-26.5967,3.08703,-48.3709,-1.93524,-1.2932,-3.86369,6654.22,-3.56323,-286.308
6654.22,-3.56323,-286.308,,,,,,
-26.9599,-19.4721,-53.0506,-2.00871,-1.32737,-3.75822,6654.22,-3.56323,-286.308
-29.6811,113.163,-20.1755,-0.597029,-1.67764,-3.03017,6654.22,-3.56323,-286.308
-32.115,168.393,-5.23403,-0.234511,-2.05422,-2.28705,6654.22,-3.56323,-286.308
-26.9038,50.5984,-36.6579,-1.39821,-1.3495,-3.74671,6654.22,-3.56323,-286.308
-26.5679,0.382446,-48.4652,-1.92862,-1.29434,-3.85603,6654.22,-3.56323,-286.308
-30.0293,201.229,1.59291,-0.217912,-2.23828,-1.86143,6654.22,-3.56323,-286.308
-31.9601,165.842,-5.57444,-0.250915,-2.03828,-2.30952,6654.22,-3.56323,-286.308
-27.0676,-22.1247,-52.9055,-1.98558,-1.32849,-3.73856,6654.22,-3.56323,-286.308
-26.7384,47.8857,-37.018,-1.41931,-1.34312,-3.76625,6654.22,-3.56323,-286.308
